ds,yhat
2019-01-01,1548.3246249551505
2019-01-02,1564.0258084004718
2019-01-03,1552.5387790039008
2019-01-04,1570.558073090711
2019-01-05,1560.9332501367808
2019-01-06,1578.5052239016197
2019-01-07,1585.8089343370234
2019-01-08,1584.139071724904
2019-01-09,1596.9120772109718
2019-01-10,1582.2382390998064
2019-01-11,1596.9513429094804
2019-01-12,1584.0397884509837
2019-01-13,1598.4797805840226
2019-01-14,1602.9349652820456
2019-01-15,1598.8192918928385
2019-01-16,1609.6563908560338
2019-01-17,1593.6493454669192
2019-01-18,1607.708367633815
2019-01-19,1594.880334361067
2019-01-20,1610.1808255791661
2019-01-21,1616.2930586616599
2019-01-22,1614.630513428407
2019-01-23,1628.6965387699204
2019-01-24,1616.6548103159234
2019-01-25,1619.1088640805092
2019-01-26,1595.28095816419
2019-01-27,1600.0982126144963
2019-01-28,1596.1430257708203
2019-01-29,1584.7181802366626
2019-01-30,1589.209133711403
2019-01-31,1567.6572987998015
2019-02-01,1576.7917338261932
2019-02-02,1559.4631022188914
2019-02-03,1570.4804331412631
2019-02-04,1572.3149646468705
2019-02-05,1566.16774577412
2019-02-06,1575.3341708628118
2019-02-07,1557.7792000426907
2019-02-08,1570.170645591464
2019-02-09,1555.3143481904372
2019-02-10,1567.991751736041
2019-02-11,1570.6641439675432
2019-02-12,1564.540235547735
2019-02-13,1572.940257315738
2019-02-14,1553.8703460363186
2019-02-15,1564.0546241425034
2019-02-16,1546.3688319750213
2019-02-17,1555.676063374208
2019-02-18,1566.3267157380321
2019-02-19,1567.8304059301881
2019-02-20,1583.611040426547
2019-02-21,1571.7809197415545
2019-02-22,1589.1703192606615
2019-02-23,1578.7586705615945
2019-02-24,1595.5079525846045
2019-02-25,1602.062663646766
2019-02-26,1599.8131510958146
2019-02-27,1612.2555803250266
2019-02-28,1597.56241083653
2019-03-01,1612.6108752173693
2019-03-02,1600.4134007798284
2019-03-03,1615.950594957971
2019-03-04,1621.871168164606
2019-03-05,1619.5555646686446
2019-03-06,1632.476568333342
2019-03-07,1618.7707278923447
2019-03-08,1635.268067214494
2019-03-09,1624.9239833652184
2019-03-10,1642.653911155313
2019-03-11,1651.0350811733554
2019-03-12,1651.3720921218105
2019-03-13,1656.1759358558595
2019-03-14,1634.3881529101604
2019-03-15,1642.7617632428482
2019-03-16,1624.1785962655654
2019-03-17,1633.4856687765282
2019-03-18,1633.198474209471
2019-03-19,1624.5678689739314
2019-03-20,1630.943742574793
2019-03-21,1610.349242637218
2019-03-22,1619.5129551112714
2019-03-23,1601.3028872014006
2019-03-24,1610.562787595575
2019-03-25,1609.815098975392
2019-03-26,1600.3272443097512
2019-03-27,1605.4744559751687
2019-03-28,1583.312947119088
2019-03-29,1590.6108589069845
2019-03-30,1570.2808686835451
2019-03-31,1577.2150341628162
2019-04-01,1573.9862111004834
2019-04-02,1561.9127891993062
2019-04-03,1564.4199981571396
2019-04-04,1539.6116246252484
2019-04-05,1563.9612330872328
2019-04-06,1560.758707864422
2019-04-07,1584.9289281241945
2019-04-08,1599.0707328472395
2019-04-09,1604.521043242702
2019-04-10,1624.7157874039217
2019-04-11,1617.7614749400145
2019-04-12,1640.4648943685772
2019-04-13,1635.7648473420738
2019-04-14,1658.5665131549395
2019-04-15,1671.442788266322
2019-04-16,1675.6993417915567
2019-04-17,1694.7366242503172
2019-04-18,1686.6226454343328
2019-04-19,1708.1239594261706
2019-04-20,1702.1387341786499
2019-04-21,1723.5324615204777
2019-04-22,1734.8406148363235
2019-04-23,1737.334958972892
2019-04-24,1754.3867152968132
2019-04-25,1744.0403663316747
2019-04-26,1763.0455102887747
2019-04-27,1754.2906196030842
2019-04-28,1772.6392410184599
2019-04-29,1780.4885542590173
2019-04-30,1779.268873128985
2019-05-01,1792.3735175573222
2019-05-02,1777.876618440152
2019-05-03,1792.5643891319078
2019-05-04,1779.3681103530844
2019-05-05,1793.199386287308
2019-05-06,1796.6519907286909
2019-05-07,1791.067028766735
2019-05-08,1799.8946465621707
2019-05-09,1781.2661111204366
2019-05-10,1792.0237146739844
2019-05-11,1775.1524076975431
2019-05-12,1785.6137523044504
2019-05-13,1786.0465474315718
2019-05-14,1777.8308816023336
2019-05-15,1784.4488731493993
2019-05-16,1764.0559434893917
2019-05-17,1773.5100975590808
2019-05-18,1755.803130296849
2019-05-19,1765.8943608200016
2019-05-20,1766.4112504540044
2019-05-21,1758.7136599374837
2019-05-22,1764.3883139957165
2019-05-23,1743.4207386589947
2019-05-24,1752.625269505353
2019-05-25,1734.943890985306
2019-05-26,1745.28105498268
2019-05-27,1746.2054945998689
2019-05-28,1739.0157598247993
2019-05-29,1747.102698964511
2019-05-30,1728.5226895309625
2019-05-31,1740.029045933435
2019-06-01,1724.505472446598
2019-06-02,1736.8021102715538
2019-06-03,1739.4384808902996
2019-06-04,1733.670027256545
2019-06-05,1742.851454757361
2019-06-06,1725.010657311741
2019-06-07,1736.8806416614493
2019-06-08,1721.3333083112761
2019-06-09,1733.215632396671
2019-06-10,1735.0525456685832
2019-06-11,1728.1132246226416
2019-06-12,1735.7739945343303
2019-06-13,1716.091646700328
2019-06-14,1724.6934555499083
2019-06-15,1705.6334836075498
2019-06-16,1713.8043185811453
2019-06-17,1711.7799889584865
2019-06-18,1700.8810786752274
2019-06-19,1704.5364198507175
2019-06-20,1680.8551885326674
2019-06-21,1686.6568597286914
2019-06-22,1664.9029260254715
2019-06-23,1670.5309704644853
2019-06-24,1666.1554427214614
2019-06-25,1653.131890856143
2019-06-26,1654.9179039739452
2019-06-27,1629.6446060269159
2019-06-28,1634.1461688675615
2019-06-29,1611.3912570399261
2019-06-30,1616.3169993804713
2019-07-01,1611.5298370578862
2019-07-02,1598.3699971213455
2019-07-03,1600.2728400401504
2019-07-04,1575.3409111451172
2019-07-05,1580.3741505672244
2019-07-06,1558.3021577766108
2019-07-07,1564.0190869275682
2019-07-08,1560.6884057405864
2019-07-09,1548.9997243703983
2019-07-10,1552.3399593573126
2019-07-11,1528.7635981467647
2019-07-12,1535.0240146033993
2019-07-13,1514.0068037373171
2019-07-14,1520.5656889015395
2019-07-15,1517.2253085981847
2019-07-16,1505.2475896920796
2019-07-17,1507.994914347115
2019-07-18,1483.503871371314
2019-07-19,1488.5170100992436
2019-07-20,1465.916459924414
2019-07-21,1470.5599628413265
2019-07-22,1464.9836235698635
2019-07-23,1450.4680848608195
2019-07-24,1450.401339441934
2019-07-25,1422.851976678609
2019-07-26,1424.6002925559294
2019-07-27,1398.571139449064
2019-07-28,1399.6690789976099
2019-07-29,1390.4801608955922
2019-07-30,1372.3370553544437
2019-07-31,1393.6919846432654
2019-08-01,1387.6552131696271
2019-08-02,1411.0586708346798
2019-08-03,1406.8764869390477
2019-08-04,1430.059082567118
2019-08-05,1443.2339544485258
2019-08-06,1447.7698992822552
2019-08-07,1467.1379312081774
2019-08-08,1459.482730740624
2019-08-09,1481.6520921877561
2019-08-10,1476.6282818375798
2019-08-11,1499.361902685343
2019-08-12,1512.4726169358846
2019-08-13,1517.3134778106453
2019-08-14,1537.3321223966402
2019-08-15,1530.6426593779847
2019-08-16,1554.0557107456932
2019-08-17,1550.5105084932488
2019-08-18,1574.9096276572538
2019-08-19,1589.8206896370152
2019-08-20,1596.541767467586
2019-08-21,1618.4637227515561
2019-08-22,1613.643284324975
2019-08-23,1626.5818130805403
2019-08-24,1612.4160764073242
2019-08-25,1625.9966911942538
2019-08-26,1629.843440147496
2019-08-27,1625.211720162268
2019-08-28,1635.4558188382712
2019-08-29,1618.6028079383623
2019-08-30,1631.3844690559208
2019-08-31,1616.671110857856
2019-09-01,1629.3078207353021
2019-09-02,1631.8174502678207
2019-09-03,1625.4670364608767
2019-09-04,1633.6308642752927
2019-09-05,1614.3639624790421
2019-09-06,1624.433455476644
2019-09-07,1606.751641912438
2019-09-08,1616.2113581705837
2019-09-09,1615.3879450319946
2019-09-10,1605.604541488956
2019-09-11,1610.2939360145645
2019-09-12,1587.570794297618
2019-09-13,1594.261714689969
2019-09-14,1573.3370117296574
2019-09-15,1579.7448157231017
2019-09-16,1584.0663978628406
2019-09-17,1579.716664473773
2019-09-18,1590.1686947923722
2019-09-19,1573.5705478795667
2019-09-20,1586.774619742052
2019-09-21,1572.768906722575
2019-09-22,1586.5107765017578
2019-09-23,1590.6276033210636
2019-09-24,1586.481023914343
2019-09-25,1597.5280702118491
2019-09-26,1581.8930161583307
2019-09-27,1596.39740023242
2019-09-28,1583.9921260256517
2019-09-29,1599.5922223379332
2019-09-30,1605.778595506439
2019-10-01,1603.8635030899716
2019-10-02,1617.2529747586975
2019-10-03,1604.019985382175
2019-10-04,1620.9358081967466
2019-10-05,1610.9034161739492
2019-10-06,1628.7934791387945
2019-10-07,1637.1472566365019
2019-10-08,1637.243084997236
2019-10-09,1645.9346970750605
2019-10-10,1627.7999532673161
2019-10-11,1639.5977961917176
2019-10-12,1624.226877757465
2019-10-13,1636.5615987334215
2019-10-14,1639.1548164418873
2019-10-15,1633.3039210128286
2019-10-16,1642.4134861902453
2019-10-17,1624.5682893250705
2019-10-18,1636.564128014006
2019-10-19,1621.3403112088868
2019-10-20,1633.8143921071778
2019-10-21,1636.5834723177754
2019-10-22,1630.98881440059
2019-10-23,1640.4770077852932
2019-10-24,1623.1715230980137
2019-10-25,1635.9021231115503
2019-10-26,1621.6360482039654
2019-10-27,1635.3115819466298
2019-10-28,1639.5383618400463
2019-10-29,1635.6612040530495
2019-10-30,1647.120714247988
2019-10-31,1632.0245411192286
2019-11-01,1641.0298245672616
2019-11-02,1623.2154237546029
2019-11-03,1633.475215058324
2019-11-04,1634.3661365736777
2019-11-05,1627.1730764682147
2019-11-06,1635.270788939043
2019-11-07,1616.6966675652684
2019-11-08,1628.1818266233843
2019-11-09,1612.5843783639489
2019-11-10,1624.7254702260834
2019-11-11,1627.0923944077972
2019-11-12,1620.9054761739744
2019-11-13,1629.4819420170506
2019-11-14,1610.8105464376995
2019-11-15,1621.5843580700034
2019-11-16,1604.635545765173
2019-11-17,1614.7726849347384
2019-11-18,1614.4848577782855
2019-11-19,1605.009220947072
2019-11-20,1609.6952158345491
2019-11-21,1586.5791820378963
2019-11-22,1592.416764804752
2019-11-23,1570.1169558983156
2019-11-24,1594.6280493628406
2019-11-25,1608.491035368485
2019-11-26,1613.0546652989497
2019-11-27,1631.7878626205863
2019-11-28,1622.852048359633
2019-11-29,1643.1310664273792
2019-11-30,1635.662601728538
2019-12-01,1655.4716770523996
2019-12-02,1665.2705801043612
2019-12-03,1666.521982329839
2019-12-04,1682.7985212399522
2019-12-05,1672.3527095295656
2019-12-06,1692.1446684051716
2019-12-07,1685.27163249972
2019-12-08,1706.799861144339
2019-12-09,1719.4633491872828
2019-12-10,1724.7261328130958
2019-12-11,1746.1414869133912
2019-12-12,1741.92189248064
2019-12-13,1768.967276464767
2019-12-14,1770.2954661004837
2019-12-15,1800.8754767136274
2019-12-16,1823.3280003073187
2019-12-17,1838.9898548644017
2019-12-18,1834.596930912835
2019-12-19,1804.893039608304
2019-12-20,1806.6249495700135
2019-12-21,1782.654646209689
2019-12-22,1787.7957861311413
2019-12-23,1784.517358849686
2019-12-24,1774.011244434687
2019-12-25,1779.5568489304542
2019-12-26,1759.0965761132402
2019-12-27,1769.2695156895932
2019-12-28,1752.847168050321
2019-12-29,1764.5717060137872
2019-12-30,1766.8610284158717
2019-12-31,1760.8772618589726
2020-01-01,1769.8918704622145
2020-01-02,1751.8611210017807
2020-01-03,1763.4592835081396
2020-01-04,1747.5133985671023
2020-01-05,1758.8401338139079
2020-01-06,1759.9490169565433
2020-01-07,1752.108743784121
2020-01-08,1758.7097718231325
2020-01-09,1737.8370053176536
2020-01-10,1744.773706987962
2020-01-11,1724.0120817357245
2020-01-12,1730.5080366685647
2020-01-13,1726.9075678100228
2020-01-14,1714.6099994888095
2020-01-15,1717.1276663257365
2020-01-16,1692.6559098269413
2020-01-17,1698.1008948596382
2020-01-18,1676.5092000854256
2020-01-19,1682.8998223831486
2020-01-20,1679.9629920852117
2020-01-21,1669.122596334496
2020-01-22,1673.8955071329815
2020-01-23,1652.4616907319569
2020-01-24,1661.6925972169277
2020-01-25,1644.5817670928905
2020-01-26,1656.078267257714
2020-01-27,1658.787315897918
2020-01-28,1654.0348476380373
2020-01-29,1665.229262015573
2020-01-30,1650.4341722490994
2020-01-31,1666.3995887799801
2020-02-01,1655.9954069071043
2020-02-02,1661.0539517252473
2020-02-03,1657.0548224276954
2020-02-04,1645.2108180267192
2020-02-05,1648.8260267057935
2020-02-06,1625.8708862183623
2020-02-07,1633.0153881017393
2020-02-08,1613.064250641754
2020-02-09,1620.7945682304805
2020-02-10,1618.6602014936786
2020-02-11,1607.85957615501
2020-02-12,1611.7000640437107
2020-02-13,1588.172708787152
2020-02-14,1593.984692642814
2020-02-15,1571.9933929090803
2020-02-16,1577.042567944537
2020-02-17,1571.6649775385365
2020-02-18,1557.148152856339
2020-02-19,1556.89654225205
2020-02-20,1529.0038526418898
2020-02-21,1530.2830428301784
2020-02-22,1503.6978784367361
2020-02-23,1504.1966494066874
2020-02-24,1494.4124140215167
2020-02-25,1475.7265406018346
2020-02-26,1484.5182264619914
2020-02-27,1466.0668501296796
2020-02-28,1477.2486706587601
2020-02-29,1461.0777961731662
2020-03-01,1472.5390547009
2020-03-02,1474.2877433279646
2020-03-03,1467.7130318276181
2020-03-04,1476.2982944462256
2020-03-05,1458.192222408821
2020-03-06,1470.2381913115853
2020-03-07,1455.4057955219264
2020-03-08,1468.6251379324294
2020-03-09,1472.4882118153653
2020-03-10,1468.314105189295
2020-03-11,1479.5112522717975
2020-03-12,1464.1505334326614
2020-03-13,1478.9966459544771
2020-03-14,1466.9416065009648
2020-03-15,1482.8409243532187
2020-03-16,1489.216736049169
2020-03-17,1487.3245900232555
2020-03-18,1500.5170693179755
2020-03-19,1486.8180234275321
2020-03-20,1509.2531059242087
2020-03-21,1504.3889732546538
2020-03-22,1527.0646538076883
2020-03-23,1539.7963983711534
2020-03-24,1543.8441965903944
2020-03-25,1562.574863611328
2020-03-26,1554.0354887296849
2020-03-27,1574.9846717131395
2020-03-28,1568.3254236815892
2020-03-29,1588.940299570635
2020-03-30,1599.3930918042456
2020-03-31,1600.9938225710296
2020-04-01,1617.1602799129412
2020-04-02,1605.989932519056
2020-04-03,1624.2896907225568
2020-04-04,1615.0074300970487
2020-04-05,1633.0658808473518
2020-04-06,1641.06324454459
2020-04-07,1640.337302492846
2020-04-08,1654.3262821624317
2020-04-09,1641.1403316541498
2020-04-10,1657.5910783114696
2020-04-11,1646.6231898967562
2020-04-12,1656.8798685024299
2020-04-13,1657.2099703390236
2020-04-14,1648.9268139247793
2020-04-15,1655.4386057757645
2020-04-16,1634.8209640646098
2020-04-17,1643.8476538445393
2020-04-18,1625.423418133656
2020-04-19,1634.4194672447095
2020-04-20,1633.3759395918837
2020-04-21,1623.5680438236732
2020-04-22,1628.3690896868832
2020-04-23,1605.8241955977696
2020-04-24,1612.6820857760517
2020-04-25,1591.828832523612
2020-04-26,1598.1240815700012
2020-04-27,1594.1040541055245
2020-04-28,1581.0480210564783
2020-04-29,1582.3414483476736
2020-04-30,1556.049598275611
2020-05-01,1558.949002818444
2020-05-02,1533.960673121419
2020-05-03,1535.985597146484
2020-05-04,1527.606838165132
2020-05-05,1510.1549531576752
2020-05-06,1526.96977525931
2020-05-07,1516.2732853442371
2020-05-08,1534.8992020327119
2020-05-09,1525.8250075782694
2020-05-10,1544.0060865978435
2020-05-11,1552.0765064450507
2020-05-12,1551.413191269885
2020-05-13,1565.496746761079
2020-05-14,1552.4827792082765
2020-05-15,1569.2311819999686
2020-05-16,1558.7373084279234
2020-05-17,1575.965633404211
